Yurt Adı	Şehir	İlçe	Tür	Kapasite
ÖZEL ALAÇATI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	128 kişilik
ÖZEL ALA ÇATI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Şişli	Kız	270 kişilik
ÖZEL ALADAĞ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ PANSİYONU	Adana	Aladağ	Erkek	27 kişilik
ÖZEL ALANYA İLİM YAYMA CEMİYETİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Antalya	Alanya	Erkek	100 kişilik
ÖZEL ALBAR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Sapanca	Kız	32 kişilik
ÖZEL ALEV-YAŞAR AKTÜRK KİLİS VAKFI YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Avcılar	Erkek	67 kişilik
ÖZEL ALİ DAYI YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kadıköy	Erkek	74 kişilik
ÖZEL ALİ DOĞAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Afyonkarahisar	Bolvadin	Erkek	40 kişilik
ÖZEL ALİKAHYA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	84 kişilik
ÖZEL ALİ OSMAN KEÇİCİ KIRKLAR YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	99 kişilik
ÖZEL ALİ ÖZERDEN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	72 kişilik
ÖZEL ALİ ÖZTÜRK VE ŞEHİT AHMET KAMİL ÖZDEMİR YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İzmir	Urla	Erkek	33 kişilik
ÖZEL ALİ SOYLU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Gölbaşı/Ankara	Erkek	118 kişilik
ÖZEL ALKA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Düzce	Gölyaka	Erkek	70 kişilik
ÖZEL ALKIN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	103 kişilik
ÖZEL ALKIN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU ŞUBESİ	Ankara	Çankaya	Kız	60 kişilik
ÖZEL ALTIEYLÜL KUMRU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Erkek	125 kişilik
ÖZEL ALTINBAŞ ÜNİVERSİTESİ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Bağcılar	Erkek	239 kişilik
