Yurt Adı	Şehir	İlçe	Tür	Kapasite
ÖZEL ÇANSA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	80 kişilik
ÖZEL CAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Çankırı	Çankırı/Merkez	Kız	90 kişilik
ÖZEL ÇAPA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	41 kişilik
ÖZEL ÇATIM YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Sarıyer	Kız	370 kişilik
ÖZEL ÇAVUŞOĞLU 2 YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Pamukova	Kız	86 kişilik
ÖZEL ÇAVUŞOĞLU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Kız	70 kişilik
ÖZEL ÇAYELİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Rize	Çayeli	Erkek	60 kişilik
ÖZEL CEBECİ GARDENYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	100 kişilik
ÖZEL ÇELEBİOĞLU İKİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Giresun	Giresun/Merkez	Erkek	330 kişilik
ÖZEL ÇELEN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	66 kişilik
ÖZEL CEMRE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	72 kişilik
ÖZEL CERRAHPAŞA VALİDE SULTAN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Fatih	Erkek	16 kişilik
ÖZEL CEVAHİR YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Sakarya	Serdivan	Kız	100 kişilik
ÖZEL ÇİÇEK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	64 kişilik
ÖZEL ÇİĞDEM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	114 kişilik
ÖZEL ÇİLEK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	80 kişilik
ÖZEL ÇINAR KASRI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Bolu	Bolu/Merkez	Erkek	136 kişilik
ÖZEL ÇINARLIK YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Samsun	Çarşamba	Erkek	30 kişilik
ÖZEL ÇINAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Samsun	İlkadım	Erkek	90 kişilik
ÖZEL ÇINAR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Antalya	Kepez	Kız	56 kişilik
ÖZEL ÇINAR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	125 kişilik
ÖZEL ÇıNARCıK YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Yalova	Çınarcık	Erkek	54 kişilik
ÖZEL ÇUBUKLU ENGÜRÜBAĞ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Beykoz	Erkek	96 kişilik
ÖZEL ÇUKUROVA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Adana	Seyhan	Erkek	72 kişilik
ÖZEL CUMHURİYET YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Erkek	142 kişilik
ÖZEL CUMHURİYET YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ordu	Altınordu	Kız	76 kişilik
ÖZEL DEĞİRMENDERE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kocaeli	Gölcük	Erkek	52 kişilik
ÖZEL DELTA YÜKSEK ÖĞRENİM ERKEK ÖĞRENCİ YURDU	Antalya	Manavgat	Erkek	105 kişilik
ÖZEL DEMET YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	İzmir	Balçova	Kız	20 kişilik
ÖZEL DEMİRASLAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Kız	289 kişilik
ÖZEL DEMİRCİ HİSAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Manisa	Demirci	Erkek	104 kişilik
ÖZEL DENİZHAN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Narlıdere	Kız	45 kişilik
ÖZEL DENİZKIZI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Kız	160 kişilik
ÖZEL DENİZLİ YİRMİDOKUZ EKİM ERKEK ÖĞRENCİ PANSİYONU	Denizli	Pamukkale	Erkek	64 kişilik
ÖZEL DENİZLİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Denizli	Pamukkale	Erkek	96 kişilik
ÖZEL DENİZ YILDIZI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ APARTLARI	İzmir	Balçova	Erkek	23 kişilik
ÖZEL DENİZ YILDIZI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	İzmir	Balçova	Kız	24 kişilik
ÖZEL DENİZ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Buca	Kız	36 kişilik
ÖZEL DERİNCE GENCEL YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Kocaeli	Derince	Kız	183 kişilik
ÖZEL DERİN REZİDANS YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	53 kişilik
ÖZEL DERSAADET ÇAMLICA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Üsküdar	Erkek	48 kişilik
ÖZEL DERSAADET İSTANBUL YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Fatih	Erkek	57 kişilik
ÖZEL DERYA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Buca	Kız	322 kişilik
ÖZEL DEVREK PAPATYAM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Zonguldak	Devrek	Kız	80 kişilik
ÖZEL DİDEM YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Konya	Meram	Kız	53 kişilik
ÖZEL DİLARA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Balçova	Kız	148 kişilik
ÖZEL DİLARA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Nazilli	Kız	81 kişilik
ÖZEL DİLEK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	171 kişilik
ÖZEL DIRAMALI YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	46 kişilik
ÖZEL DİRİLİŞ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	45 kişilik
ÖZEL DİRİLİŞ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Sakarya	Serdivan	Erkek	141 kişilik
ÖZEL DİYARBAKIR İLİM YAYMA CEMİYETİ ASİYE AĞAOĞLU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Diyarbakır	Yenişehir/Diyarbakır	Kız	298 kişilik
ÖZEL DİYARBAKIR İLİM YAYMA CEMİYETİ SELAHADDİN EYYUBİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Diyarbakır	Yenişehir/Diyarbakır	Erkek	197 kişilik
ÖZEL DOĞAN-1 YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	162 kişilik
ÖZEL DOĞANKENT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Samsun	Atakum	Kız	258 kişilik
ÖZEL DOĞAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Kütahya	Kütahya/Merkez	Kız	63 kişilik
ÖZEL DOĞA YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Aydın	Efeler	Erkek	148 kişilik
ÖZEL DOĞRU EL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Zonguldak	Ereğli/Zonguldak	Kız	68 kişilik
ÖZEL DOKTOR TÜLİN ATALAY BAĞCI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Konya	Meram	Kız	163 kişilik
ÖZEL DOKUZ EYLÜL BUCA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	35 kişilik
ÖZEL DOKUZ EYLÜL YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	67 kişilik
ÖZEL DÖRT TERİM YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Konya	Selçuklu	Erkek	204 kişilik
ÖZEL DÖRTYOL YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Konya	Seydişehir	Erkek	40 kişilik
ÖZEL DORUK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Küçükçekmece	Erkek	120 kişilik
ÖZEL DORUK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Zonguldak	Zonguldak/Merkez	Erkek	120 kişilik
ÖZEL DORUK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Kız	70 kişilik
ÖZEL DOST KAPISI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	48 kişilik
ÖZEL DR.İSMAİL NİYAZİ KURTULMUŞ YÜKSEKÖĞRETİM ERKEK ÖĞR. YURDU	İstanbul	Fatih	Erkek	166 kişilik
ÖZEL DÜNYA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Manisa	Turgutlu	Erkek	90 kişilik
ÖZEL DÜNYA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	68 kişilik
ÖZEL DÜNYA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	110 kişilik
ÖZEL DURSUN FAKIH YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bilecik	Söğüt	Erkek	144 kişilik
ÖZEL DURSUN KELEŞ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Gümüşhane	Gümüşhane/Merkez	Erkek	101 kişilik
ÖZEL DURU ANITTEPE YÜKSEK ÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	73 kişilik
ÖZEL DURUKAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Manisa	Yunusemre	Kız	91 kişilik
ÖZEL DURU YÜKSEKÖGRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	88 kişilik
ÖZEL DÜŞÜM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	148 kişilik
ÖZEL DÜZCE HÜDAYİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Düzce	Düzce/Merkez	Erkek	69 kişilik
ÖZEL DÜZCE SÜLEYMANİYE KÜLLİYESİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Düzce	Düzce/Merkez	Erkek	192 kişilik
ÖZEL DÜZKÖY YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Trabzon	Düzköy	Erkek	40 kişilik
ÖZEL EBRU YÜKSEKÖĞRETIM KıZ ÖĞRENCI YURDU	Zonguldak	Ereğli/Zonguldak	Kız	80 kişilik
ÖZEL EDİRNE KIZILAY YÜKSEK ÖĞRENİM KIZ ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Kız	101 kişilik
ÖZEL EDİRNE MİMAR SİNAN VAKFI MURAT HÜDAVENDİGAR YÜKSEK ÖĞRENİM ERKEK ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Erkek	50 kişilik
ÖZEL EGELİM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	35 kişilik
ÖZEL EGE MAVİSİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	160 kişilik
ÖZEL EGEMEN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	162 kişilik
ÖZEL EGEMEN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Denizli	Pamukkale	Erkek	72 kişilik
ÖZEL EGEMEN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	183 kişilik
ÖZEL EGEM YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	42 kişilik
ÖZEL EGE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ APARTLARI	Eskişehir	Odunpazarı	Erkek	49 kişilik
ÖZEL EGEYURT YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Bornova	Erkek	1206 kişilik
ÖZEL EGEYURT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	1320 kişilik
Özel Eka Yükseköğrenim Erkek Öğrenci Yurdu	İstanbul	Küçükçekmece	Erkek	85 kişilik
ÖZEL EKİM YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Erkek	51 kişilik
ÖZEL EKİN YÜKESEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	148 kişilik
ÖZEL EKİN YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	46 kişilik
ÖZEL EKİN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU EMEK ŞUBESİ	Ankara	Çankaya	Kız	96 kişilik
ÖZEL EKŞİOĞLU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	348 kişilik
ÖZEL ELHAMRA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Kız	199 kişilik
ÖZEL ELİF GAZİ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Şişli	Kız	135 kişilik
ÖZEL ELİFNAZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	19 kişilik
ÖZEL ELİF YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Yalova	Yalova/Merkez	Erkek	156 kişilik
ÖZEL ELİF YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Yalova	Yalova/Merkez	Kız	328 kişilik
ÖZEL ELİT YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Konya	Selçuklu	Erkek	105 kişilik
ÖZEL ELİT YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kayseri	Talas	Erkek	104 kişilik
ÖZEL ELİT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Kütahya	Kütahya/Merkez	Kız	78 kişilik
ÖZEL ELİT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Kız	198 kişilik
ÖZEL ELİT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	588 kişilik
ÖZEL ELİT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU 2. ŞUBE	Erzincan	Erzincan/Merkez	Kız	264 kişilik
ÖZEL ELMAS YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Buca	Kız	200 kişilik
ÖZEL ELMAS YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Yalova	Çınarcık	Kız	144 kişilik
ÖZEL EMEK EYÜBOĞLU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	100 kişilik
ÖZEL EMİN ANGIN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Samsun	Atakum	Erkek	83 kişilik
ÖZEL EMİNDER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Erzurum	Palandöken	Erkek	160 kişilik
ÖZEL EMINE İNANÇ VAKFI YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Zeytinburnu	Erkek	275 kişilik
ÖZEL EMİRHAN SALKIM YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Küçükçekmece	Erkek	30 kişilik
ÖZEL EMİRLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Denizli	Pamukkale	Erkek	183 kişilik
ÖZEL EMİR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Avcılar	Kız	72 kişilik
Özel Emre Yılmaz Yükseköğretim Erkek Öğrenci Yurdu	Kastamonu	Cide	Erkek	134 kişilik
Özel Emre Yılmaz Yükseköğretim Kız Öğrenci Yurdu	Kastamonu	Cide	Kız	202 kişilik
ÖZEL EMRE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	74 kişilik
ÖZEL ENDERUN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Bursa	İnegöl	Erkek	35 kişilik
ÖZEL ENDERUN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Konya	Karatay	Erkek	60 kişilik
ÖZEL ENDÜLÜS YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Erkek	120 kişilik
ÖZEL ENİS ÇEBİ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU 2	İstanbul	Avcılar	Erkek	247 kişilik
ÖZEL ENSAR VAKFI AFYONKARAHİSAR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Kız	132 kişilik
ÖZEL ENSAR VAKFI ANTALYA YÜKSEKÖĞRENIM KIZ ÖĞRENCİ YURDU	Antalya	Konyaaltı	Kız	311 kişilik
ÖZEL ENSAR VAKFI ATAŞEHİR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Ataşehir	Erkek	100 kişilik
ÖZEL ENSAR VAKFI BEYLİKDÜZÜ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beylikdüzü	Kız	103 kişilik
ÖZEL ENSAR VAKFI BİLECİK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bilecik	Bilecik/Merkez	Erkek	80 kişilik
ÖZEL ENSAR VAKFI BİNGÖL KÜLTÜR YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Kız	112 kişilik
ÖZEL ENSAR VAKFI BİNGÖL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Kız	99 kişilik
ÖZEL ENSAR VAKFI BOĞAZLIYAN ŞEHİT YUNUS ŞAHİN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Yozgat	Sorgun	Kız	80 kişilik
ÖZEL ENSAR VAKFI BOLU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	250 kişilik
ÖZEL ENSAR VAKFI ÇAMLICA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Üsküdar	Kız	104 kişilik
ÖZEL ENSAR VAKFI ÇANAKKALE YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	59 kişilik
ÖZEL ENSAR VAKFI ÇORUM AKŞEMSEDDİN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çorum	Çorum/Merkez	Erkek	90 kişilik
ÖZEL ENSAR VAKFI EMİNE ERDOĞAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Rize	Rize/Merkez	Kız	300 kişilik
ÖZEL ENSAR VAKFI ERZURUM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Erzurum	Palandöken	Kız	153 kişilik
ÖZEL ENSAR VAKFI ESENLER YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Esenler	Kız	140 kişilik
ÖZEL ENSAR VAKFI GAZİANTEP YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Gaziantep	Şahinbey	Erkek	105 kişilik
ÖZEL ENSAR VAKFI HACI AYŞE ÖZYURT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Esenyurt	Kız	128 kişilik
ÖZEL ENSAR VAKFI İCADİYE YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Üsküdar	Kız	55 kişilik
ÖZEL ENSAR VAKFI KAĞITHANE YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kağıthane	Erkek	48 kişilik
ÖZEL ENSAR VAKFI KARABÜK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	96 kişilik
ÖZEL ENSAR VAKFI KONYA ALİ OSMAN KOÇKUZU YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Konya	Meram	Kız	80 kişilik
ÖZEL ENSAR VAKFI KONYA ŞUBESİ HAYRETTİN KARAMAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	157 kişilik
ÖZEL ENSAR VAKFI MARDİN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Mardin	Artuklu	Kız	76 kişilik
ÖZEL ENSAR VAKFI ORDU ŞUBESİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ordu	Altınordu	Kız	88 kişilik
ÖZEL ENSAR VAKFI PROF.DR. KEMAL SANDIKÇI YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Rize	Rize/Merkez	Erkek	182 kişilik
ÖZEL ENSAR VAKFI RİZE ŞUBESİ BİLAL CEVRİYE KARAHAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Rize	Çayeli	Kız	96 kişilik
ÖZEL ENSAR VAKFI RÜSTEMPAŞA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Fatih	Erkek	56 kişilik
ÖZEL ENSAR VAKFI SAFFET ÇEBİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Beylikdüzü	Erkek	120 kişilik
ÖZEL ENSAR VAKFI ŞEHİT RECEP BÜYÜK YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Üsküdar	Kız	179 kişilik
ÖZEL ENSAR VAKFI TRABZON ZEHRA-POLAT ÇEBİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Trabzon	Ortahisar	Kız	335 kişilik
ÖZEL ENSAR VAKFI UŞAK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Kız	108 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Balıkesir	Altıeylül	Kız	159 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	94 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	94 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bitlis	Bitlis/Merkez	Erkek	115 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	105 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Samsun	Atakum	Kız	149 kişilik
ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Karabağlar	Kız	80 kişilik
ÖZEL ENSAR VAKFI ZEYTİNBURNU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Zeytinburnu	Erkek	148 kişilik
ÖZEL ENSAR VAKFı EREĞLI YUSUF TAHA GÖKTAŞ YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	Zonguldak	Ereğli/Zonguldak	Kız	128 kişilik
ÖZEL ENSAR VAKFı HAZRETI HATICE YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	İstanbul	Bağcılar	Kız	140 kişilik
ÖZEL ENSAR ZONGULDAK YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	Zonguldak	Kozlu	Kız	149 kişilik
ÖZEL ENVER ÖREN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Eskişehir	Odunpazarı	Erkek	88 kişilik
Özel ERCANLAR YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	94 kişilik
ÖZEL ERCİYES YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Kayseri	Talas	Kız	48 kişilik
ÖZEL ERDEM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	403 kişilik
ÖZEL ERDOĞAN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	46 kişilik
ÖZEL ERENLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Erkek	84 kişilik
ÖZEL ERENLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	70 kişilik
ÖZEL ERGÜN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Çanakkale	Çan	Kız	38 kişilik
ÖZEL ERKAM YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Kayseri	Melikgazi	Erkek	72 kişilik
ÖZEL ERKAM YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kütahya	Simav	Erkek	90 kişilik
ÖZEL EROĞLU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	229 kişilik
ÖZEL ERTUĞRUL GAZİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aydın	Efeler	Erkek	144 kişilik
ÖZEL ERTUĞRULGAZİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	196 kişilik
ÖZEL ERZİNCAN KÜLTÜR VE EĞİTİM VAKFI AYŞE DURSUN CÜHER YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	53 kişilik
ÖZEL ESENLER YÜKSEK ÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Esenler	Erkek	96 kişilik
